	Kingdom	Phylum	Class	Order	Family	Genus
ASV_8982	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
ASV_8983	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group
ASV_8984	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_8985	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA
ASV_8986	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_8987	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_8988	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
ASV_8989	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA
ASV_8990	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium
ASV_8991	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_8992	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia
ASV_8993	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_8994	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_8995	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
ASV_8996	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia
ASV_8997	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group
ASV_8998	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group
ASV_8999	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group
ASV_9000	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group
ASV_9001	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter
ASV_9002	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9003	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9004	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA
ASV_9005	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
ASV_9006	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9007	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA
ASV_9008	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9009	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_9010	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9011	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia
ASV_9012	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9013	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA
ASV_9014	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9015	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia
ASV_9016	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia
ASV_9017	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group
ASV_9018	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia
ASV_9019	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA
ASV_9020	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA
ASV_9021	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA
ASV_9022	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA
ASV_9023	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9024	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
ASV_9025	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9026	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia
ASV_9027	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia
ASV_9028	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group
ASV_9029	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
ASV_9030	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA
ASV_9031	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA
ASV_9032	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9033	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9034	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia
ASV_9035	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9036	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter
ASV_9037	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9038	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9039	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter
ASV_9040	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9041	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
ASV_9042	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group
ASV_9043	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9044	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group
ASV_9045	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group
ASV_9046	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA
ASV_9047	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group
ASV_9048	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9049	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella
ASV_9050	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9051	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA
ASV_9052	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group
ASV_9053	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9054	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9055	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9057	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
ASV_9058	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9059	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9060	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
ASV_9061	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9062	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9063	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA
ASV_9064	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA
ASV_9065	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA
ASV_9066	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA
ASV_9067	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA
ASV_9068	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-001
ASV_9069	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9070	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9071	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9072	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9073	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9074	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium
ASV_9075	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_9076	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_9077	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
ASV_9078	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
